ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.2617,66.74483333333333,0.2617444444444444,13361,0
0.2113,53.87769447047798,0.2112850763548155,17188,0
0.1771,45.149332682291664,0.1770562065972222,13572,0
0.2292,58.4375,0.2291666666666666,13135,0
0.1987,50.66717432052484,0.1986948012569601,18065,0
0.0984,25.085823970037453,0.0983757802746566,61711,0
0.2336,59.57649953139644,0.2336333314956723,17111,0
0.1982,50.53537956888472,0.1981779590936656,18182,0
0.2175,55.46126930501931,0.2174951737451737,18302,0
0.1942,49.521077473958336,0.1942003038194444,14775,0
0.258,65.78987693050193,0.2579995173745174,20654,0
0.2198,56.051833333333335,0.2198111111111111,11680,0
0.1376393687185929,71915.0,0.1596074856340971,57775,0
0.1876,47.83555772569444,0.1875904224537037,14418,0
0.2336,59.55948359073359,0.2335666023166023,23629,0
0.2332,59.45662794484855,0.2331632468425433,9984,0
0.177,45.12627495659722,0.1769657841435185,13840,0
0.2412,61.51782697876448,0.2412463803088803,18447,0
0.0609724783000362,28637.0,0.0649313680662022,19213,1
0.2095,53.431667751736114,0.2095359519675926,15344,0
0.239,60.94401544401544,0.238996138996139,22265,0
0.2506,63.8945,0.2505666666666666,12968,0
0.239,60.955403645833336,0.2390407986111111,15962,0
0.2129,54.29416588566073,0.2129182975908264,18986,0
0.1937,49.3816361003861,0.1936534749034749,18402,0
0.2375,60.570339626736114,0.2375307436342592,15785,0
0.1951,49.737820095486114,0.1950502748842592,15561,0
0.1018,25.9681640625,0.1018359375,91022,1
0.2067,52.70384254920337,0.206681735487072,18045,0
0.2328,59.37089971883786,0.2328270577209328,22169,0
0.2174,55.43983333333333,0.2174111111111111,10635,0
0.1763,44.96485473289597,0.1763327636584155,14794,0
0.1732962578942407,10862.0,0.2096191851626634,7506,1
0.1481,37.760798745173744,0.1480815637065637,11252,0
0.1849,47.151001447876446,0.184905888030888,18588,0
0.2482,63.29486879100281,0.2482151717294227,20360,0
0.1276,32.53397375820056,0.1275842108164727,10522,0
0.307,78.2935,0.3070333333333333,14832,0
0.284,72.42178450772201,0.2840069980694981,26502,0
0.3113,79.37367277992279,0.311269305019305,24061,0
0.2511,64.039,0.2511333333333333,13174,0
0.2,51.004568884723525,0.2000179171949942,17680,0
0.2095,53.420138888888886,0.2094907407407407,15649,0
0.202,51.50634765625,0.2019856770833333,14780,0
0.0783026041666666,97727.0,0.0849547370681373,71711,0
0.2969,75.70666666666666,0.2968888888888888,13626,0
0.2245,57.24812558575445,0.2245024532774684,19668,0
0.2403,61.27401593252109,0.2402902585589062,18538,0
0.2196,55.98816776007498,0.2195614421963724,18927,0
0.2064,52.620666666666665,0.2063555555555555,12134,0
0.2237,57.051965214425785,0.2237331969193167,11863,0
0.1707,43.525666666666666,0.1706888888888889,11376,0
0.236,60.19219292534722,0.2360478153935185,16669,0
0.2285,58.26558106841612,0.2284924747781024,20351,0
0.1794,45.75835854428972,0.17944454331094,18256,1
0.17944454331094,22631.0,0.2186851914605218,18256,1
0.076,19.380857544517337,0.0760033629196758,7917,0
0.2324,59.2705,0.2324333333333333,12313,0
0.1749,44.59758669165885,0.1748924968300347,14841,0
0.2282,58.1884765625,0.2281901041666666,15766,0
0.1102,28.09512652296157,0.110176966756712,10928,0
0.1788,45.5869259606373,0.1787722586691658,16769,0
0.2045,52.139,0.2044666666666666,11027,0
0.2703,68.92162605435801,0.2702808864876785,19994,0
0.2021,51.535262417994375,0.2020990683058603,18903,0
0.3735,95.23886944980696,0.3734857625482625,26606,0
0.1285225740685936,20005.0,0.1474757257131357,15017,1
0.2949,75.20516666666667,0.2949222222222222,14651,0
0.266,67.82891167534723,0.2659957320601852,18009,0
0.3881,98.9740287162162,0.3881334459459459,28850,0
0.1865,47.54503038194444,0.186451099537037,14476,0
0.322,82.12133333333334,0.3220444444444444,14427,0
0.0983,25.0599921875,0.0982744791666666,104605,0
0.0777,19.8051328125,0.0776671875,92299,0
0.2311,58.91916666666667,0.2310555555555555,12175,0
0.1697,43.26909559512652,0.1696827278240255,15535,0
0.0818369791666666,106778.0,0.0891311574168091,78839,1
0.2762,70.43383333333334,0.2762111111111111,12044,0
0.2019,51.49308809746954,0.201933678813606,14910,0
0.1029,26.2482427366448,0.1029342852417443,10467,0
0.2914,74.307,0.2914,15974,0
0.2046,52.16611996251172,0.2045730194608302,18349,0
0.1784,45.48916666666667,0.1783888888888889,10356,0
0.2563,65.35451858108108,0.2562922297297297,18425,0
0.1702,43.399251302083336,0.1701931423611111,12812,0
