ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.08183697916666667,106778,0.08913115741680915,78839,1
0.1018359375,119638,0.1133822680048896,91022,1
0.07886041666666667,100308,0.08561175038406323,76313,1
0.050166666666666665,73543,0.05281625459715816,53051,1
0.0609724783000362,28637,0.06493136806620224,19213,1
0.123569822948501,42283,0.1409918661309728,31618,1
0.12525700463616207,6141,0.14318962140240107,4052,1
0.17329625789424075,10862,0.20961918516266342,7506,1
0.1285225740685936,20005,0.14747572571313577,15017,1
0.17944454331094006,22631,0.21868519146052184,18256,1
0.09827447916666666,153736,0.10898485196792725,104605,0
0.07830260416666666,97727,0.08495473706813739,71711,0
0.0776671875,133123,0.084207286772678,92299,0
0.09837578027465668,77741,0.10910943829388335,61711,0
0.15983283944988982,36381,0.19023864388631045,28328,0
0.16344059356170534,34487,0.19537158697602872,26117,0
0.13763936871859297,71915,0.15960748563409713,57775,0
0.10233427588619402,92396,0.11400033448563092,69921,0
0.23316324684254333,14647,0.3040513437625351,9984,0
0.22373319691931678,16283,0.2882116053450485,11863,0
