ridge_density,ridge_thickness,ridge_ratio,minutiae_points,label
0.1733,44.1846298031865,0.17327305805171178,15184,0
0.122,31.107075913776946,0.12198853299520371,11445,0
0.1586,40.43814432989691,0.15858095815645845,15592,0
0.076,19.380857544517337,0.07600336291967584,7917,0
0.2162,55.14116682286785,0.21623986989359942,15751,0
0.2403,61.27401593252109,0.24029025855890623,18538,0
0.1457,37.1503045923149,0.14568746898947021,14812,0
0.2046,52.166119962511715,0.20457301946083026,18349,0
0.2131,54.343369259606376,0.21311125199845637,19026,0
0.1763,44.96485473289597,0.17633276365841558,14794,0
0.182,46.421626054358015,0.18204559237003143,17798,0
0.1123,28.624062792877226,0.11225122663873421,10523,0
0.2661,67.8549671977507,0.2660979105794145,19287,0
0.0988,25.18334114339269,0.09875820056232427,10356,0
0.1193,30.42174320524836,0.119300953746072,12638,0
0.2336,59.576499531396436,0.2336333314956723,17111,0
0.2019,51.49308809746954,0.20193367881360605,14910,0
0.2202,56.14456419868791,0.220174761563482,16181,0
0.1342,34.210402999062794,0.13415844313357958,10041,0
0.2492,63.55318650421743,0.24922818236948013,18391,0
0.2663,67.91822867853796,0.2663459948177959,19310,0
0.2188,55.7843252108716,0.21876205965047688,16829,0
0.1276,32.53397375820056,0.12758421081647278,10522,0
0.2203,56.17443767572634,0.22029191245382876,19170,0
0.2291,58.40967666354264,0.22905755554330448,19093,0
0.2067,52.70384254920337,0.20668173548707205,18045,0
0.2172,55.390698219306465,0.21721842438943711,16854,0
0.1632,41.61199625117151,0.163184299024202,13258,0
0.2646,67.48242736644798,0.2646369700645019,19633,0
0.2868,73.1267572633552,0.2867715971111969,20873,0
0.2,51.004568884723525,0.2000179171949942,17680,0
0.2255,57.50117150890347,0.225494790230994,18355,0
0.2065,52.659910965323334,0.20650945476597388,19201,0
0.2129,54.29416588566073,0.2129182975908264,18986,0
0.1496,38.13788659793814,0.14956033959975742,14049,0
0.2417,61.63074039362699,0.2416891780142235,22616,0
0.1456,37.129217432052485,0.14560477424334306,13536,0
0.2806,71.55224929709466,0.2805970560670379,22126,0
0.1696,43.256794751640115,0.1696344892221181,16180,0
0.2482,63.29486879100281,0.24821517172942278,20360,0
0.2502,63.80096063730085,0.2501998456364739,20862,0
0.2798,71.35895032802249,0.27983902089420587,22643,0
0.2113,53.87769447047798,0.21128507635481558,17188,0
0.2742,69.91623711340206,0.27418132201334144,21650,0
0.2334,59.50620899718838,0.2333576823419152,19601,0
0.2196,55.98816776007498,0.21956144219637247,18927,0
0.1788,45.5869259606373,0.17877225866916588,16769,0
0.1818,46.34957825679475,0.1817630519874304,16271,0
